@relation interacciones

@attribute rut real
@attribute id_ejercicio	real
@attribute respuesta_correcta {1, 0}
@attribute respuesta_incorrecta {1, 0}
@attribute respuesta_omitida {1, 0}
@attribute tiempo_respuesta	date HH:mm:ss

@data
11111111,1,1,0,0,00:05:20
11111111,2,0,1,0,00:03:20
11111111,3,1,0,0,00:01:20
11111111,4,0,0,1,00:02:14
11111111,5,1,0,0,00:01:10
22222222,1,1,0,0,00:01:30
22222222,2,0,1,0,00:02:40
22222222,3,1,0,0,00:01:03
22222222,4,0,0,1,00:00:30
22222222,5,0,1,0,00:03:20
33333333,1,0,1,0,00:04:20
33333333,2,1,0,0,00:03:20
33333333,3,0,1,0,00:02:22
33333333,4,1,0,0,00:03:30
33333333,5,1,0,0,00:01:20
44444444,1,1,0,0,00:03:20
44444444,2,1,0,0,00:02:22
44444444,3,1,0,0,00:01:20
44444444,4,1,0,0,00:02:25
44444444,5,1,0,0,00:03:20
55555555,1,1,0,0,00:04:27
55555555,2,0,1,0,00:01:23
55555555,3,0,0,1,00:03:20
55555555,4,0,1,0,00:01:25
55555555,5,1,0,0,00:02:13
